year,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
1990,41,1.2997333115794343,1.1352621676352048,1.3710119030932628,1.1809803497569458,1.1169245116364852
1991,44,1.319398735954268,1.1392743391021596,1.384904081534926,1.1860388046922232,1.1198219014802067
1992,54,1.3337354423371233,1.1421440961040419,1.3952784761376813,1.189718615031736,1.1218871465600455
1993,57,1.3499994136658717,1.1454206786468977,1.408411866406121,1.1943068856983807,1.1244135564166333
1994,58,1.359553055227255,1.1473944580983548,1.4163785011341603,1.1970972271357596,1.125941067359936
1995,58,1.369343470152692,1.1494574245117484,1.4248157866767863,1.2001029821676488,1.1275971181587698
1996,62,1.3777561609392064,1.151234235961931,1.432764655216677,1.202879252344725,1.1291028609707447
1997,63,1.3897844296198079,1.153931579472279,1.4441963561067683,1.2069609488390782,1.131353507761714
1998,64,1.4021497098272624,1.1568428162812958,1.455722071734342,1.211277973636122,1.133783416799262
1999,70,1.4140350295941941,1.1594460103217836,1.4665389592318818,1.2152077720175976,1.1359574433619186
2000,71,1.423028443431075,1.1614378499339022,1.4748682894105425,1.2182524020438124,1.1376368486985837
2001,72,1.4382986341315087,1.1649282766016604,1.4881913718404671,1.223237290607408,1.1404385028457373
2002,78,1.4500944201505706,1.167657682110409,1.498769556375931,1.2271270799134828,1.1426128441842744
2003,84,1.4642537596890506,1.1707838142215141,1.510476950435083,1.2315491915016006,1.145110363230582
2004,84,1.4793901114245451,1.1742620868126965,1.524254777020716,1.236547534417941,1.1478980371457794
2005,88,1.4981683039871363,1.178647521155412,1.5392415498623364,1.2424165801937468,1.1512811222479113
2006,89,1.5191486333768005,1.1836063115747377,1.555344357425156,1.248862473991813,1.1550276219353954
2007,90,1.5454579130975228,1.1898870335681404,1.5757938543953625,1.2571496820637078,1.1598524360949687
2008,90,1.5749795893483922,1.197057583119175,1.5987616925082946,1.2666038150942116,1.1653773747473959
2009,91,1.6024019973010128,1.203791092361444,1.6200230036571088,1.2753326855752614,1.1704771683928483
2010,94,1.6320384049591032,1.211266349783487,1.642354503669835,1.2847286095744204,1.1760328610836195
2011,96,1.6661380428022492,1.219874293508046,1.6667379198166066,1.295148048952073,1.1822264397255853
2012,96,1.7027588170958854,1.2291190060568402,1.692073524164433,1.3061036322919195,1.1887614762033585
2013,97,1.7399375175208618,1.2385043077557303,1.7188281571109534,1.3176251297921004,1.1955804199750235
2014,97,1.7782928537966929,1.2478327172687562,1.747515383832988,1.3298004165404547,1.2026802710468787
2015,98,1.813023751857124,1.2561673698151519,1.7745129254691474,1.3411992004370341,1.20924985592615
2016,98,1.8587330480436586,1.267174482233204,1.813936373940627,1.3572422802583852,1.2183002695332468
2017,100,1.8967959628437474,1.2761901806100442,1.8468700725390832,1.3707162524490941,1.2258627028012674
2018,100,1.9346384600436652,1.2850453017795973,1.877186115226876,1.3837165243367717,1.2332649033369014
2019,100,1.9788822345391555,1.2952310982183393,1.911291124456556,1.3987142946324698,1.2418449808847767
2020,102,2.02051192578543,1.3051154146469564,1.9428187506719072,1.4129497564159068,1.2500647065332773
2021,102,2.071253726411274,1.3172287380582635,1.9792323601299748,1.4299001220594774,1.2599546699867665
2022,105,2.1525737088439896,1.3359833872799942,2.0345149350002214,1.456306868380183,1.2753971550144383
2023,106,2.2854786712102637,1.3666101408357934,2.116748645214869,1.4982598923054007,1.3003773001949432
2024,107,2.395283061809782,1.3919965051218517,2.183140887951483,1.5329567125844958,1.3210862745491916
2025,105,2.472725434167877,1.4095500054853705,2.229275778982641,1.557206916149581,1.3355116508013005
