municipality,year,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
Akaa,1990,4,1.0340125650664054,1.0090364758732864,1.037796738694654,1.013683072302221,1.0079830473934634
Akaa,1991,4,1.036584591106483,1.0097697081357175,1.040869596508876,1.0147971272351264,1.008631711113495
Akaa,1992,4,1.0310347952449033,1.0080797485800803,1.0339008463212025,1.012243575630194,1.0071388333207572
Akaa,1993,4,1.036079174256873,1.0096237035781104,1.0401452300965877,1.0145593975765086,1.0084987190936399
Akaa,1994,5,1.0392410560410608,1.0101893468643985,1.03794149983376,1.014033601161515,1.0083454291099325
Akaa,1995,5,1.0397684444151158,1.0103498364472763,1.03862005283214,1.0142757061518797,1.0084859086675029
Akaa,1996,4,1.0332120556796809,1.0087361619066404,1.0365881568622697,1.0132322122292339,1.007717822265497
Akaa,1997,4,1.032103580348002,1.0083999811746214,1.0352558407982464,1.0127317905419744,1.0074226296571034
Akaa,1998,5,1.0384084771421622,1.009926941418336,1.0368308415168819,1.0136244820512483,1.0081068751707085
Akaa,1999,6,1.044569833201152,1.0113957366037327,1.0457740799745119,1.0161519900664953,1.0094583988143624
Akaa,2000,6,1.0444902709750656,1.0114012687300187,1.0455793162430107,1.0161380506259747,1.0094595963882813
Akaa,2001,6,1.048598344829555,1.0124927476606373,1.0485545375001104,1.017086000087371,1.01005385413375
Akaa,2002,8,1.0627065999404819,1.015968353791883,1.0614333666560967,1.0219149625445143,1.0129200980443918
Akaa,2003,8,1.0657997574770426,1.016823661340278,1.0647218938970089,1.0230179158687547,1.0135657813118377
Akaa,2004,7,1.0652036599252768,1.0170285636459124,1.0642970934972844,1.0228440010140303,1.0135033873964008
Akaa,2005,8,1.0769723148552843,1.0201796028812447,1.0710056915196156,1.0257806693488523,1.0154339347737755
Akaa,2006,8,1.0841575376580346,1.0223429374410191,1.073983002730192,1.0273845585675192,1.0165758233926594
Akaa,2007,8,1.0861431975097335,1.0230135401394975,1.0752617831727123,1.028099083024464,1.017050220397038
Akaa,2008,8,1.0898319830731389,1.0241528998311622,1.0787217904403974,1.029270410042964,1.017765462437922
Akaa,2009,7,1.0776703257971103,1.0209195028015978,1.0683848723364398,1.0252482431029262,1.015319427448637
Akaa,2010,8,1.090327849620894,1.0243809418244287,1.081749455321752,1.0297348527173813,1.017934693558193
Akaa,2011,8,1.098158935047067,1.0267130061635306,1.089207349963172,1.0326155692238383,1.0196835598005385
Akaa,2012,8,1.1076775427190766,1.0298097611641883,1.094445442980239,1.0351115934443191,1.021395551399077
Akaa,2013,8,1.1114184464303565,1.030969555243918,1.0975456100562957,1.0362361013544583,1.0220991950103724
Akaa,2014,10,1.1270164161653513,1.0346118585746509,1.1165331475368268,1.042599765622118,1.0256331212532621
Akaa,2015,9,1.1236044448770173,1.034024500002365,1.1152370413341783,1.0419197845409287,1.025194340919744
Akaa,2016,9,1.1261015444031979,1.034916886261838,1.1158635253347975,1.0425288781187574,1.0256621054893877
Akaa,2017,10,1.1343443165845333,1.0369777129204176,1.1228188819009361,1.0450594636283312,1.027175251279624
Akaa,2018,10,1.1438040495767205,1.0397849477120933,1.132987816314001,1.0488917551886017,1.0294439406996494
Akaa,2019,10,1.1473999245134692,1.0407869765726123,1.1386274830014769,1.0507724415200363,1.0304767344940216
Akaa,2020,10,1.1528683884409545,1.0424567474070154,1.1449539477140152,1.052923318204511,1.0317282024092937
Akaa,2021,11,1.166192930038078,1.0459158291121486,1.1609069078059056,1.058559597636981,1.0349235877897467
Akaa,2022,13,1.186361718313612,1.050865482097081,1.1841188001058987,1.0660971489952167,1.0391316317070196
Akaa,2023,12,1.1940360098187086,1.053489397145145,1.198692241625252,1.0711939882801362,1.041948851051906
Akaa,2024,15,1.2185101490577699,1.0594643585926395,1.2183487031305038,1.0787839116464781,1.0465179575102113
Akaa,2025,15,1.2205739099672985,1.0601169871697005,1.2192462202561007,1.0792939804433763,1.0468822244438831
Alajärvi,1990,1,1,1,1,1,1
Alajärvi,1991,2,1.0073777097722956,1.0018414649158387,1.0008690786736507,1.0007571417626604,1.0006745268130248
Alajärvi,1992,2,1.0090855601722533,1.0023358606662414,1.001101807216115,1.000960026689352,1.000855356007322
Alajärvi,1993,2,1.0096738077344227,1.0025098262156544,1.0011836382158403,1.001031377435475,1.0009189584077065
Alajärvi,1994,3,1.0193462126409223,1.0050284620402847,1.0090215747020197,1.0040673653484748,1.002785870068432
Alajärvi,1995,3,1.019431642009101,1.0050695460250487,1.0084892214676227,1.0039171500612272,1.0027217567506088
Alajärvi,1996,3,1.0212444693080083,1.0055855640695215,1.010555382793751,1.004681518115644,1.003172155826236
Alajärvi,1997,4,1.0334967715231334,1.0088694913637697,1.0220537858484944,1.008914936351069,1.0057113393100037
Alajärvi,1998,3,1.0254400506339243,1.0068649026448917,1.0137988254905808,1.0058861224633868,1.0039376696600233
Alajärvi,1999,3,1.0261741045414,1.0070975218739027,1.0139965672913749,1.0060073793990092,1.0040346804143412
Alajärvi,2000,3,1.024723532503214,1.0066456837497508,1.0132308675665904,1.0056599675573943,1.0037940030465453
Alajärvi,2001,3,1.0268296297517665,1.0072773170214484,1.0163645622300377,1.006752375215611,1.004414084918588
Alajärvi,2002,3,1.027708252488105,1.0075608890197185,1.0159952180528404,1.006720609281082,1.0044483663718178
Alajärvi,2003,3,1.0267974736784855,1.0072699632419702,1.0159792943240753,1.0066369301470506,1.0043588138716286
Alajärvi,2004,3,1.0298296465338421,1.0082200007347493,1.0185458906720146,1.0076516976669943,1.0049982366210242
Alajärvi,2005,3,1.0312877677132672,1.0086840738935414,1.0196186830869645,1.00809471403198,1.0052860255123202
Alajärvi,2006,3,1.0368814629637748,1.0104994386789599,1.023474302653458,1.0097299736251761,1.0063664005070136
Alajärvi,2007,3,1.0388686473182998,1.0111536746415082,1.0274264579369896,1.0110870143718962,1.0071172005915585
Alajärvi,2008,3,1.0435819345112256,1.012760755635718,1.033895267273604,1.0134676488141658,1.0085159234251129
Alajärvi,2009,3,1.0619106174090909,1.0192349009184254,1.0521034454095768,1.020784794300774,1.0130930473145756
Alajärvi,2010,4,1.0882060227174666,1.0278638489321437,1.082785986763037,1.0319839611851123,1.019778000074532
Alajärvi,2011,4,1.1049646904893273,1.0343691468062537,1.1004121189701586,1.0394086192784209,1.0244541525221973
Alajärvi,2012,4,1.100835417107913,1.03275841784345,1.0992539695052208,1.0385329201079818,1.0237494701408272
Alajärvi,2013,4,1.1192963200508466,1.0400936241359817,1.1146250460122213,1.0456216120772746,1.0284309444968036
Alajärvi,2014,5,1.1295921083173717,1.0422230047293786,1.121560011544087,1.0479793247867268,1.0298246493191672
Alajärvi,2015,5,1.116188985966726,1.0368338377172532,1.1062027813557282,1.041473889069259,1.025764861125621
Alajärvi,2016,5,1.1076996146330547,1.0336022188403227,1.0904164396947367,1.0356447961730002,1.0224339161953884
Alajärvi,2017,5,1.116571888995998,1.0370407642334663,1.102907541262768,1.040569860924581,1.0253811649273958
Alajärvi,2018,5,1.1260977618154486,1.040809534519961,1.118384393811511,1.0465673396373474,1.0289053339297953
Alajärvi,2019,6,1.1508113274207676,1.0491904521368176,1.1480079120427313,1.0583694169676476,1.035981086493935
Alajärvi,2020,6,1.1696662894422463,1.0561634874673205,1.1744269234833273,1.0688070758488022,1.0421704213452374
Alajärvi,2021,6,1.163686107876264,1.0538719341700253,1.164787567303673,1.0650328817556018,1.0399636388483788
Alajärvi,2022,6,1.1808775225573866,1.0607865050826613,1.1922059805102592,1.0760518469693365,1.04647959659893
Alajärvi,2023,7,1.261381584085876,1.0891624413433643,1.2813487366458478,1.1158058295575397,1.0708971409813552
Alajärvi,2024,7,1.2733183091286315,1.0949090143754472,1.2979599704270492,1.123952515818643,1.0760395193834664
Alajärvi,2025,9,1.3012204158885496,1.099951313228721,1.3277997140101971,1.133573935780857,1.0810364529294927
Alavieska,1990,1,1,1,1,1,1
Alavieska,1991,1,1,1,1,1,1
Alavieska,1992,1,1,1,1,1,1
Alavieska,1993,1,1,1,1,1,1
Alavieska,1994,1,1,1,1,1,1
Alavieska,1995,1,1,1,1,1,1
Alavieska,1996,1,1,1,1,1,1
Alavieska,1997,1,1,1,1,1,1
