municipality,year,language,ISO6393,family,macroarea,aes,speakers,glottocode,classification,family_name,Latitude,Longitude
Akaa,1990,Finnish,fin,ural1272,Eurasia,1,15958,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1990,Polish,pol,indo1319,Eurasia,1,33,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1990,Russian,rus,indo1319,Eurasia,1,14,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1990,Swedish,swe,indo1319,Eurasia,1,25,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1991,Finnish,fin,ural1272,Eurasia,1,15993,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1991,Polish,pol,indo1319,Eurasia,1,33,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1991,Russian,rus,indo1319,Eurasia,1,20,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1991,Swedish,swe,indo1319,Eurasia,1,25,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1992,Finnish,fin,ural1272,Eurasia,1,16111,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1992,Polish,pol,indo1319,Eurasia,1,18,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1992,Russian,rus,indo1319,Eurasia,1,23,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1992,Swedish,swe,indo1319,Eurasia,1,24,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1993,Finnish,fin,ural1272,Eurasia,1,16027,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1993,Polish,pol,indo1319,Eurasia,1,18,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1993,Russian,rus,indo1319,Eurasia,1,27,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1993,Swedish,swe,indo1319,Eurasia,1,32,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1994,Estonian,ekk,ural1272,Eurasia,1,10,esto1258,ural1272/finn1317/coas1319/neva1234/cent2329,Uralic,58.55,25.82
Akaa,1994,Finnish,fin,ural1272,Eurasia,1,15928,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1994,Polish,pol,indo1319,Eurasia,1,18,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1994,Russian,rus,indo1319,Eurasia,1,26,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1994,Swedish,swe,indo1319,Eurasia,1,27,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1995,Estonian,ekk,ural1272,Eurasia,1,10,esto1258,ural1272/finn1317/coas1319/neva1234/cent2329,Uralic,58.55,25.82
Akaa,1995,Finnish,fin,ural1272,Eurasia,1,15875,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1995,Polish,pol,indo1319,Eurasia,1,18,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1995,Russian,rus,indo1319,Eurasia,1,28,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1995,Swedish,swe,indo1319,Eurasia,1,26,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1996,Finnish,fin,ural1272,Eurasia,1,15819,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1996,Polish,pol,indo1319,Eurasia,1,18,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1996,Russian,rus,indo1319,Eurasia,1,25,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1996,Swedish,swe,indo1319,Eurasia,1,26,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1997,Finnish,fin,ural1272,Eurasia,1,15736,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1997,Polish,pol,indo1319,Eurasia,1,18,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1997,Russian,rus,indo1319,Eurasia,1,25,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1997,Swedish,swe,indo1319,Eurasia,1,23,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
Akaa,1998,Estonian,ekk,ural1272,Eurasia,1,10,esto1258,ural1272/finn1317/coas1319/neva1234/cent2329,Uralic,58.55,25.82
Akaa,1998,Finnish,fin,ural1272,Eurasia,1,15743,finn1318,ural1272/finn1317/coas1319/neva1234/nort3282/nucl1717,Uralic,64.7628,25.5577
Akaa,1998,Polish,pol,indo1319,Eurasia,1,19,poli1260,indo1319/clas1257/balt1263/slav1255/west2792/lech1241/poli1262,Indo-European,51.8439,18.6255
Akaa,1998,Russian,rus,indo1319,Eurasia,1,24,russ1263,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European,59,50
Akaa,1998,Swedish,swe,indo1319,Eurasia,1,25,swed1254,indo1319/clas1257/germ1287/nort3152/nort3160/nort3266/east2780/east2781,Indo-European,59.800634,17.389526
