language,ISO6393,year,speakers
Afar,aar,2013,14
Afar,aar,2014,14
Afar,aar,2015,14
Afar,aar,2016,13
Afar,aar,2017,11
Afar,aar,2018,10
Afar,aar,2019,10
Afar,aar,2020,14
Afar,aar,2021,26
Afar,aar,2022,34
Afar,aar,2023,44
Afar,aar,2024,50
Afar,aar,2025,61
Afrikaans,afr,2010,10
Afrikaans,afr,2011,14
Afrikaans,afr,2012,13
Afrikaans,afr,2013,13
Afrikaans,afr,2014,13
Afrikaans,afr,2015,11
Afrikaans,afr,2016,21
Afrikaans,afr,2017,25
Afrikaans,afr,2018,42
Afrikaans,afr,2019,41
Afrikaans,afr,2020,49
Afrikaans,afr,2021,64
Afrikaans,afr,2022,71
Afrikaans,afr,2023,75
Afrikaans,afr,2024,85
Afrikaans,afr,2025,107
Akan,aka,1992,36
Akan,aka,1993,46
Akan,aka,1994,55
Akan,aka,1995,71
Akan,aka,1996,69
Akan,aka,1997,77
Akan,aka,1998,83
Akan,aka,1999,93
Akan,aka,2000,96
Akan,aka,2001,128
Akan,aka,2002,135
Akan,aka,2003,145
Akan,aka,2004,162
Akan,aka,2005,185
Akan,aka,2006,242
Akan,aka,2007,279
Akan,aka,2008,344
Akan,aka,2009,374
Akan,aka,2010,405
Akan,aka,2011,446
Akan,aka,2012,508
Akan,aka,2013,560
Akan,aka,2014,663
Akan,aka,2015,737
Akan,aka,2016,801
Akan,aka,2017,841
Akan,aka,2018,904
Akan,aka,2019,957
Akan,aka,2020,1011
Akan,aka,2021,1067
Akan,aka,2022,1126
Akan,aka,2023,1236
Akan,aka,2024,1358
Akan,aka,2025,1446
Albanian,als,1992,128
Albanian,als,1993,1684
Albanian,als,1994,1843
Albanian,als,1995,1913
Albanian,als,1996,2116
Albanian,als,1997,2248
Albanian,als,1998,2445
Albanian,als,1999,2919
Albanian,als,2000,3187
Albanian,als,2001,3894
Albanian,als,2002,4127
Albanian,als,2003,4380
Albanian,als,2004,4646
Albanian,als,2005,4903
Albanian,als,2006,5237
Albanian,als,2007,5599
Albanian,als,2008,6144
Albanian,als,2009,6570
Albanian,als,2010,6938
Albanian,als,2011,7227
Albanian,als,2012,7562
Albanian,als,2013,8025
Albanian,als,2014,8558
Albanian,als,2015,9032
Albanian,als,2016,9567
Albanian,als,2017,10156
Albanian,als,2018,10768
Albanian,als,2019,11584
Albanian,als,2020,12466
Albanian,als,2021,13639
Albanian,als,2022,15380
Albanian,als,2023,17555
Albanian,als,2024,18838
Albanian,als,2025,19365
Amharic,amh,1990,10
Amharic,amh,1991,27
Amharic,amh,1992,61
Amharic,amh,1993,100
Amharic,amh,1994,110
Amharic,amh,1995,128
Amharic,amh,1996,141
Amharic,amh,1997,165
Amharic,amh,1998,177
Amharic,amh,1999,202
Amharic,amh,2000,208
Amharic,amh,2001,227
Amharic,amh,2002,263
Amharic,amh,2003,292
Amharic,amh,2004,334
Amharic,amh,2005,367
Amharic,amh,2006,427
Amharic,amh,2007,525
Amharic,amh,2008,684
Amharic,amh,2009,777
Amharic,amh,2010,836
Amharic,amh,2011,924
Amharic,amh,2012,1014
Amharic,amh,2013,1116
Amharic,amh,2014,1196
Amharic,amh,2015,1248
Amharic,amh,2016,1329
Amharic,amh,2017,1378
Amharic,amh,2018,1448
Amharic,amh,2019,1475
Amharic,amh,2020,1551
Amharic,amh,2021,1604
Amharic,amh,2022,1707
Amharic,amh,2023,1950
Amharic,amh,2024,2150
Amharic,amh,2025,2467
Arabic,arb,1990,899
Arabic,arb,1991,1333
Arabic,arb,1992,1786
Arabic,arb,1993,2078
Arabic,arb,1994,2284
Arabic,arb,1995,2667
Arabic,arb,1996,3078
Arabic,arb,1997,3649
Arabic,arb,1998,3992
Arabic,arb,1999,4356
Arabic,arb,2000,4639
Arabic,arb,2001,5049
Arabic,arb,2002,5408
Arabic,arb,2003,5817
Arabic,arb,2004,6370
Arabic,arb,2005,6875
Arabic,arb,2006,7318
Arabic,arb,2007,7840
Arabic,arb,2008,8522
Arabic,arb,2009,9381
Arabic,arb,2010,10084
Arabic,arb,2011,10922
Arabic,arb,2012,11692
Arabic,arb,2013,12820
Arabic,arb,2014,14456
Arabic,arb,2015,16373
Arabic,arb,2016,21432
Arabic,arb,2017,26131
Arabic,arb,2018,29103
Arabic,arb,2019,31550
Arabic,arb,2020,33902
Arabic,arb,2021,36051
Arabic,arb,2022,38681
Arabic,arb,2023,40920
Arabic,arb,2024,43106
Arabic,arb,2025,44527
Armenian,hye,1992,14
Armenian,hye,1993,15
Armenian,hye,1994,30
Armenian,hye,1995,40
Armenian,hye,1996,41
Armenian,hye,1997,30
Armenian,hye,1998,45
Armenian,hye,1999,50
